OBJECTID,time_steps,temperature_resource_output
1,0,150
1,0.25,150
1,0.5,150
1,0.75,150
1,1,149.9999
1,1.25,149.9992
1,1.5,149.9958
1,1.75,149.9854
1,2,149.9628
1,2.25,149.9226
1,2.5,149.8604
1,2.75,149.773
1,3,149.6587
1,3.25,149.5168
1,3.5,149.3479
1,3.75,149.153
1,4,148.9337
1,4.25,148.6919
1,4.5,148.4295
1,4.75,148.1487
1,5,147.8515
1,5.25,147.5397
1,5.5,147.2153
1,5.75,146.88
1,6,146.5353
1,6.25,146.1828
1,6.5,145.8237
1,6.75,145.4592
1,7,145.0905
1,7.25,144.7184
1,7.5,144.3439
1,7.75,143.9677
1,8,143.5905
1,8.25,143.213
1,8.5,142.8356
1,8.75,142.4589
1,9,142.0832
1,9.25,141.709
1,9.5,141.3365
1,9.75,140.9661
1,10,140.598
1,10.25,140.2324
1,10.5,139.8696
1,10.75,139.5096
1,11,139.1526
1,11.25,138.7987
1,11.5,138.448
1,11.75,138.1007
1,12,137.7566
1,12.25,137.4161
1,12.5,137.0789
1,12.75,136.7453
1,13,136.4152
1,13.25,136.0885
1,13.5,135.7655
1,13.75,135.4459
1,14,135.1299
1,14.25,134.8173
1,14.5,134.5083
1,14.75,134.2027
1,15,133.9006
1,15.25,133.6019
1,15.5,133.3066
1,15.75,133.0146
1,16,132.726
1,16.25,132.4407
1,16.5,132.1586
1,16.75,131.8797
1,17,131.6041
1,17.25,131.3315
1,17.5,131.0621
1,17.75,130.7957
1,18,130.5324
1,18.25,130.272
1,18.5,130.0146
1,18.75,129.7601
1,19,129.5084
1,19.25,129.2595
1,19.5,129.0135
1,19.75,128.7701
1,20,128.5295
1,20.25,128.2915
1,20.5,128.0561
1,20.75,127.8233
1,21,127.593
1,21.25,127.3653
1,21.5,127.1399
1,21.75,126.9171
1,22,126.6966
1,22.25,126.4784
1,22.5,126.2626
1,22.75,126.049
1,23,125.8377
1,23.25,125.6286
1,23.5,125.4217
1,23.75,125.217
1,24,125.0143
1,24.25,124.8137
1,24.5,124.6152
1,24.75,124.4186
1,25,124.2241
1,25.25,124.0315
1,25.5,123.8409
1,25.75,123.6521
1,26,123.4652
1,26.25,123.2801
1,26.5,123.0969
1,26.75,122.9154
1,27,122.7357
1,27.25,122.5578
1,27.5,122.3815
1,27.75,122.2069
1,28,122.034
1,28.25,121.8627
1,28.5,121.693
1,28.75,121.525
1,29,121.3584
1,29.25,121.1934
1,29.5,121.03
1,29.75,120.868
1,30,120.7075
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
